"DEVICE NAME","STATUS","CLIENTS","ALERTS","IP ADDRESS","MODEL","SERIAL","MAC","VIRTUAL CONTROLLER","GROUP","LABELS","SITE","FIRMWARE VERSION","UPTIME","LAST SEEN","PUBLIC IP","LLDP NEIGHBOR","LLDP PORT","ZONE","NOTE"
"Campus Central - Bloque de Aulas - Aula 210","Online","19","0","10.10.60.16","AP-515","PHR4KD50Q1","68:28:cf:ce:fb:ce","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P2-DisSW48Poe","1/1/34","-",""
"Campus Central - Bloque de Aulas - Aula 202","Online","14","0","10.10.60.17","AP-515","PHR4KD50Q2","68:28:cf:ce:f7:a4","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P2-DisSW48Poe","1/1/29","-",""
"Campus Central - Bloque de Aulas - Adquisiciones","Online","4","0","10.10.60.64","AP-515","PHR4KD50Q3","68:28:cf:cf:0a:b8","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","28 Days 23 Hours 10 Minutes","-","190.15.139.161","CC-Administrativo-Biblioteca","1/1/18","-",""
"Santa Cruz - Bloque de Aulas - Aula 209 - SWArP32","Online","7","0","10.10.60.27","AP-515","PHR4KD50Q9","68:28:cf:cf:09:14","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","1 Days 18 Hours 39 Minutes","-","190.15.139.161","SC-Bloque2Piso3-AulasArchivo","1/1/32","-",""
"Campus Central - Bloque de Aulas - Aula 306","Online","1","0","10.10.60.12","AP-515","PHR4KD50QB","68:28:cf:ce:f5:32","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P3-DisSW48Poe","1/1/28","-",""
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP4 - SwArP2","Online","0","0","10.10.60.40","AP-515","PHR4KD50QD","68:28:cf:cf:07:6a","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","68 Days 0 Hours 14 Minutes","-","190.15.139.161","SC-Bloque2Piso1-Laboratorio","1/1/2","-",""
"Tachina - Hall Principal","Online","3","0","172.21.234.48","AP-515","PHR4KD50QH","68:28:cf:ce:f3:80","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-PB-BA-1","1/1/20","-",""
"Tachina - TI","Online","2","0","172.21.234.9","AP-515","PHR4KD50QW","68:28:cf:cf:11:b0","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/19","-",""
"Campus Central - Administrativo - Prorectorado","Online","6","0","10.10.60.57","AP-515","PHR4KD50QX","68:28:cf:cf:0a:c6","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","120 Days 19 Hours 47 Minutes","-","190.15.139.161","CC-Administrativo-DirAdmTTHH","1/1/14","-",""
"Campus Central - Bloque de Aulas - Salon Euskadi 1","Online","0","0","10.10.60.20","AP-515","PHR4KD50R8","68:28:cf:ce:fe:3c","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P4-DisSW48Poe","1/1/13","-",""
